,Fecha,Institución Financiera,Tipo,Subtipo,Valor,Tipo de moneda
0,1-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
1,2-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
2,3-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
3,4-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
4,5-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
5,6-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
6,7-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
7,8-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
8,9-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
9,10-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
10,11-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
11,12-2008,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
12,1-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
13,2-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
14,3-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
15,4-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
16,5-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
17,6-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
18,7-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
19,8-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
20,9-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
21,10-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
22,11-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
23,12-2009,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
24,1-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
25,2-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
26,3-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
27,4-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
28,5-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
29,6-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
30,7-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
31,8-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
32,9-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
33,10-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
34,11-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
35,12-2010,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
36,1-2011,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
37,2-2011,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
38,3-2011,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
39,4-2011,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
40,5-2011,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
41,6-2011,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
42,7-2011,Banco BTG Pactual Chile ,Depósito,Depósitos a plazo,0.0,Dolar
